epoch;loss;lr;val_loss
0;581.5258178710938;0.001;582.330322265625
1;581.5257568359375;0.0009990005;582.3302612304688
2;581.525634765625;0.000998002;582.330078125
3;581.5255737304688;0.0009970044;582.3299560546875
4;581.5254516601562;0.0009960079;582.329833984375
5;581.5254516601562;0.0009950125;582.3297119140625
6;581.5253295898438;0.0009940179;582.3295288085938
7;581.5252075195312;0.0009930244;582.3294677734375
8;581.525146484375;0.0009920319;582.3292846679688
9;581.525146484375;0.0009910404;582.3292236328125
10;581.5250244140625;0.0009900498;582.3290405273438
11;581.5249633789062;0.0009890603;582.3289184570312
12;581.52490234375;0.0009880717;582.328857421875
13;581.5248413085938;0.0009870841;582.3287353515625
14;581.5247802734375;0.0009860975;582.32861328125
15;581.5247802734375;0.0009851119;582.3284912109375
16;581.524658203125;0.0009841273;582.3284301757812
17;581.524658203125;0.0009831437;582.328369140625
18;581.5245971679688;0.000982161;582.3281860351562
19;581.5245971679688;0.0009811794;582.328125
20;581.5244750976562;0.0009801986;582.3280639648438
21;581.5244750976562;0.000979219;582.3279418945312
22;581.5244140625;0.0009782403;582.327880859375
23;581.5244140625;0.0009772625;582.3278198242188
24;581.5243530273438;0.0009762857;582.3277587890625
25;581.5242919921875;0.00097530993;582.32763671875
26;581.5242309570312;0.00097433507;582.3275146484375
27;581.5242309570312;0.00097336125;582.3275146484375
28;581.524169921875;0.00097238837;582.327392578125
29;581.524169921875;0.0009714165;582.3273315429688
30;581.524169921875;0.0009704455;582.3272705078125
31;581.5240478515625;0.0009694756;582.3272094726562
32;581.5240478515625;0.00096850656;582.3270874023438
33;581.5240478515625;0.00096753857;582.3270263671875
34;581.5239868164062;0.0009665715;582.3269653320312
35;581.52392578125;0.00096560543;582.3269653320312
36;581.52392578125;0.0009646403;582.326904296875
37;581.52392578125;0.00096367614;582.3267822265625
38;581.52392578125;0.0009627129;582.3267822265625
39;581.5238037109375;0.0009617507;582.32666015625
40;581.5238037109375;0.00096078945;582.32666015625
41;581.5238037109375;0.00095982914;582.3265380859375
42;581.5237426757812;0.00095886976;582.3265380859375
43;581.5237426757812;0.00095791137;582.3264770507812
44;581.5237426757812;0.00095695397;582.326416015625
45;581.5237426757812;0.0009559975;582.3263549804688
46;581.5237426757812;0.00095504196;582.3263549804688
47;581.523681640625;0.0009540874;582.3262939453125
48;581.5236206054688;0.0009531338;582.3262329101562
49;581.523681640625;0.0009521811;582.326171875
50;581.5236206054688;0.0009512294;582.3261108398438
51;581.5236206054688;0.00095027866;582.3261108398438
52;581.5236206054688;0.0009493289;582.3259887695312
53;581.5235595703125;0.00094838004;582.3259887695312
54;581.5234985351562;0.0009474321;582.325927734375
55;581.5234985351562;0.00094648515;582.325927734375
56;581.5234985351562;0.00094553916;582.3258666992188
57;581.5234985351562;0.0009445941;582.3258056640625
58;581.5234985351562;0.00094364997;582.3258056640625
59;581.5234375;0.00094270677;582.32568359375
60;581.5233764648438;0.0009417645;582.32568359375
61;581.5233764648438;0.0009408232;582.32568359375
62;581.5234375;0.0009398829;582.3256225585938
63;581.5233764648438;0.00093894347;582.3255615234375
64;581.5233764648438;0.000938005;582.3255615234375
65;581.5233764648438;0.00093706744;582.3255004882812
66;581.5233764648438;0.0009361309;582.325439453125
67;581.5233764648438;0.0009351952;582.325439453125
68;581.5232543945312;0.0009342605;582.3253784179688
69;581.5232543945312;0.00093332666;582.3253784179688
70;581.5232543945312;0.0009323938;582.3253173828125
71;581.5232543945312;0.00093146187;582.3252563476562
72;581.5232543945312;0.0009305309;582.3252563476562
73;581.5232543945312;0.00092960085;582.3251953125
74;581.5232543945312;0.0009286717;582.3251342773438
75;581.5232543945312;0.0009277435;582.3251342773438
76;581.523193359375;0.0009268162;582.3250732421875
77;581.523193359375;0.0009258899;582.3250732421875
78;581.523193359375;0.00092496444;582.3250122070312
79;581.523193359375;0.0009240399;582.3250122070312
80;581.523193359375;0.00092311634;582.3250122070312
81;581.523193359375;0.0009221937;582.324951171875
82;581.523193359375;0.000921272;582.324951171875
83;581.523193359375;0.0009203511;582.324951171875
84;581.523193359375;0.0009194313;582.3248901367188
85;581.5231323242188;0.0009185123;582.3248291015625
86;581.5231323242188;0.00091759424;582.3248291015625
87;581.5231323242188;0.0009166771;582.3248291015625
88;581.5230712890625;0.0009157609;582.3247680664062
89;581.5230712890625;0.00091484556;582.3247680664062
90;581.5230712890625;0.0009139312;582.32470703125
